"date","Search_Terms","searches"
2020-09-13,"Donald Trump",0
2020-09-13,"Kamala Harris",0
2020-09-13,"election",0
2020-09-20,"Donald Trump",0
2020-09-20,"Kamala Harris",0
2020-09-20,"election",0
2020-09-27,"Donald Trump",1
2020-09-27,"Kamala Harris",0
2020-09-27,"election",0
2020-10-04,"Donald Trump",1
2020-10-04,"Kamala Harris",0
2020-10-04,"election",0
2020-10-11,"Donald Trump",0
2020-10-11,"Kamala Harris",0
2020-10-11,"election",1
2020-10-18,"Donald Trump",0
2020-10-18,"Kamala Harris",0
2020-10-18,"election",1
2020-10-25,"Donald Trump",0
2020-10-25,"Kamala Harris",0
2020-10-25,"election",1
2020-11-01,"Donald Trump",1
2020-11-01,"Kamala Harris",0
2020-11-01,"election",100
2020-11-08,"Donald Trump",1
2020-11-08,"Kamala Harris",1
2020-11-08,"election",10
2020-11-15,"Donald Trump",1
2020-11-15,"Kamala Harris",0
2020-11-15,"election",3
2020-11-22,"Donald Trump",0
2020-11-22,"Kamala Harris",0
2020-11-22,"election",1
2020-11-29,"Donald Trump",0
2020-11-29,"Kamala Harris",0
2020-11-29,"election",1
2020-12-06,"Donald Trump",0
2020-12-06,"Kamala Harris",0
2020-12-06,"election",1
2020-12-13,"Donald Trump",0
2020-12-13,"Kamala Harris",0
2020-12-13,"election",1
2020-12-20,"Donald Trump",0
2020-12-20,"Kamala Harris",0
2020-12-20,"election",0
2020-12-27,"Donald Trump",0
2020-12-27,"Kamala Harris",0
2020-12-27,"election",0
2021-01-03,"Donald Trump",1
2021-01-03,"Kamala Harris",0
2021-01-03,"election",3
2021-01-10,"Donald Trump",1
2021-01-10,"Kamala Harris",0
2021-01-10,"election",0
2021-01-17,"Donald Trump",1
2021-01-17,"Kamala Harris",1
2021-01-17,"election",0
2021-01-24,"Donald Trump",0
2021-01-24,"Kamala Harris",0
2021-01-24,"election",0
2021-01-31,"Donald Trump",0
2021-01-31,"Kamala Harris",0
2021-01-31,"election",0
2021-02-07,"Donald Trump",0
2021-02-07,"Kamala Harris",0
2021-02-07,"election",0
2021-02-14,"Donald Trump",0
2021-02-14,"Kamala Harris",0
2021-02-14,"election",0
2021-02-21,"Donald Trump",0
2021-02-21,"Kamala Harris",0
2021-02-21,"election",0
2021-02-28,"Donald Trump",0
2021-02-28,"Kamala Harris",0
2021-02-28,"election",0
2021-03-07,"Donald Trump",0
2021-03-07,"Kamala Harris",0
2021-03-07,"election",0
2021-03-14,"Donald Trump",0
2021-03-14,"Kamala Harris",0
2021-03-14,"election",0
2021-03-21,"Donald Trump",0
2021-03-21,"Kamala Harris",0
2021-03-21,"election",0
2021-03-28,"Donald Trump",0
2021-03-28,"Kamala Harris",0
2021-03-28,"election",0
2021-04-04,"Donald Trump",0
2021-04-04,"Kamala Harris",0
2021-04-04,"election",0
2021-04-11,"Donald Trump",0
2021-04-11,"Kamala Harris",0
2021-04-11,"election",0
2021-04-18,"Donald Trump",0
2021-04-18,"Kamala Harris",0
2021-04-18,"election",0
2021-04-25,"Donald Trump",0
2021-04-25,"Kamala Harris",0
2021-04-25,"election",0
2021-05-02,"Donald Trump",0
2021-05-02,"Kamala Harris",0
2021-05-02,"election",0
2021-05-09,"Donald Trump",0
2021-05-09,"Kamala Harris",0
2021-05-09,"election",0
2021-05-16,"Donald Trump",0
2021-05-16,"Kamala Harris",0
2021-05-16,"election",0
2021-05-23,"Donald Trump",0
2021-05-23,"Kamala Harris",0
2021-05-23,"election",0
2021-05-30,"Donald Trump",0
2021-05-30,"Kamala Harris",0
2021-05-30,"election",0
2021-06-06,"Donald Trump",0
2021-06-06,"Kamala Harris",0
2021-06-06,"election",0
2021-06-13,"Donald Trump",0
2021-06-13,"Kamala Harris",0
2021-06-13,"election",0
2021-06-20,"Donald Trump",0
2021-06-20,"Kamala Harris",0
2021-06-20,"election",0
2021-06-27,"Donald Trump",0
2021-06-27,"Kamala Harris",0
2021-06-27,"election",0
2021-07-04,"Donald Trump",0
2021-07-04,"Kamala Harris",0
2021-07-04,"election",0
2021-07-11,"Donald Trump",0
2021-07-11,"Kamala Harris",0
2021-07-11,"election",0
2021-07-18,"Donald Trump",0
2021-07-18,"Kamala Harris",0
2021-07-18,"election",0
2021-07-25,"Donald Trump",0
2021-07-25,"Kamala Harris",0
2021-07-25,"election",0
2021-08-01,"Donald Trump",0
2021-08-01,"Kamala Harris",0
2021-08-01,"election",0
2021-08-08,"Donald Trump",0
2021-08-08,"Kamala Harris",0
2021-08-08,"election",0
2021-08-15,"Donald Trump",0
2021-08-15,"Kamala Harris",0
2021-08-15,"election",0
2021-08-22,"Donald Trump",0
2021-08-22,"Kamala Harris",0
2021-08-22,"election",0
2021-08-29,"Donald Trump",0
2021-08-29,"Kamala Harris",0
2021-08-29,"election",0
2021-09-05,"Donald Trump",0
2021-09-05,"Kamala Harris",0
2021-09-05,"election",0
