GEOID,NAME,estimate_median_age,estimate_total,estimate_bachelors,estimate_masters,estimate_professional,estimate_doctorate,moe_median_age,moe_total,moe_bachelors,moe_masters,moe_professional,moe_doctorate,college_grad,college_rate
19045,"Clinton County, Iowa",42.5,32227,5035,1353,413,321,0.5,206,541,218,146,167,7122,0.22099481800974338
19195,"Worth County, Iowa",44.3,5362,791,206,56,23,0.5,32,117,60,32,21,1076,0.20067139127191347
19041,"Clay County, Iowa",41.8,11387,2119,617,194,35,0.9,102,290,164,102,28,2965,0.2603846491613243
19163,"Scott County, Iowa",39,118880,26844,12154,2296,1773,0.3,102,959,672,314,319,43067,0.3622728802153432
19063,"Emmet County, Iowa",43.3,6593,747,246,21,18,2,82,148,78,14,20,1032,0.15652965266191415
19149,"Plymouth County, Iowa",41.1,17454,3203,675,228,62,0.8,99,317,139,87,38,4168,0.23879912913945228
19069,"Franklin County, Iowa",41.9,6812,922,261,46,13,0.8,80,149,85,31,13,1242,0.18232530827950674
19073,"Greene County, Iowa",44.8,6232,915,263,43,13,0.3,41,165,91,30,11,1234,0.19801026957638
19027,"Carroll County, Iowa",41.8,14049,2504,452,194,137,1,88,318,117,80,104,3287,0.23396683037938643
19117,"Lucas County, Iowa",43.3,6099,605,206,50,22,1.2,53,99,74,36,17,883,0.14477783243154616
19051,"Davis County, Iowa",36.2,5708,714,239,42,11,0.7,24,143,74,40,16,1006,0.1762438682550806
19025,"Calhoun County, Iowa",42.7,7062,1056,360,92,10,1.1,29,124,97,35,8,1518,0.21495327102803738
19125,"Marion County, Iowa",39.7,22346,5138,1545,374,332,0.8,85,440,330,127,140,7389,0.33066320594289805
19111,"Lee County, Iowa",43.7,23746,3714,974,166,142,0.5,104,409,180,77,67,4996,0.2103933294028468
19107,"Keokuk County, Iowa",42.8,6975,796,261,36,15,0.5,19,121,64,19,13,1108,0.1588530465949821
19161,"Sac County, Iowa",45.3,6915,1104,233,89,39,0.8,48,116,58,44,23,1465,0.2118582791033984
19001,"Adair County, Iowa",42.6,5257,784,154,35,79,0.6,44,136,56,23,44,1052,0.2001141335362374
19057,"Des Moines County, Iowa",42.2,26955,4269,1419,465,272,0.5,168,355,221,158,132,6425,0.2383602300129846
19193,"Woodbury County, Iowa",36.2,67514,10508,4001,748,540,0.4,254,762,503,185,172,15797,0.23398110021625143
19167,"Sioux County, Iowa",34,21341,4580,1388,284,233,0.3,63,425,252,113,74,6485,0.30387516986083124
19131,"Mitchell County, Iowa",42.2,7234,1201,373,39,30,0.5,36,170,102,37,18,1643,0.2271219242466132
19165,"Shelby County, Iowa",45.1,8254,1319,417,97,92,1.6,134,177,134,60,55,1925,0.23322025684516598
19023,"Butler County, Iowa",43.7,10122,1580,374,84,31,0.3,45,158,73,36,17,2069,0.20440624382533096
19179,"Wapello County, Iowa",39.9,24014,2829,1327,408,101,1.1,87,385,287,140,66,4665,0.19426168068626634
19087,"Henry County, Iowa",40.5,13830,2124,771,60,161,0.8,123,275,231,37,108,3116,0.22530730296456977
19183,"Washington County, Iowa",40.3,15298,2517,948,170,174,0.5,91,268,207,77,98,3809,0.24898679565956333
19031,"Cedar County, Iowa",43.8,13231,2094,593,50,105,0.5,58,292,117,37,45,2842,0.2147985790945507
19101,"Jefferson County, Iowa",43.5,11763,2746,1731,238,182,0.8,146,347,258,107,95,4897,0.4163053642778203
19079,"Hamilton County, Iowa",42.2,10460,1685,475,103,35,0.9,48,235,131,62,31,2298,0.2196940726577438
19047,"Crawford County, Iowa",37.9,10627,1522,306,88,25,2.3,103,244,91,53,21,1941,0.1826479721464195
19065,"Fayette County, Iowa",43.7,13563,1724,559,159,25,0.6,103,183,98,55,15,2467,0.18189191181891912
19169,"Story County, Iowa",27,52524,16019,7066,1427,3503,0.3,132,708,665,316,458,28015,0.5333752189475287
